tweet_id,timestamp,rating_numerator,rating_denominator,name,stage,retweet_count,favorite_count,jpg_url,img_num,predictions,odds
885167619883638784,2017-07-12 16:03:00+00:00,13,10,None,,3919.0,20266.0,https://pbs.twimg.com/media/DEi_N9qXYAAgEEw.jpg,4.0,malamute,0.8124819999999999
884925521741709313,2017-07-12 00:01:00+00:00,12,10,Earl,,16192.0,71294.0,https://pbs.twimg.com/media/DEfjEaNXkAAtPlj.jpg,1.0,Italian_greyhound,0.259916
884876753390489601,2017-07-11 20:47:12+00:00,13,10,Lola,,5003.0,25775.0,https://pbs.twimg.com/media/DEe2tZXXkAAwyX3.jpg,1.0,chow,0.822103
884562892145688576,2017-07-11 00:00:02+00:00,13,10,Kevin,,4217.0,22540.0,https://pbs.twimg.com/media/DEaZQkfXUAEC7qB.jpg,1.0,pug,0.5464060000000001
884441805382717440,2017-07-10 15:58:53+00:00,14,10,None,,5112.0,25110.0,https://pbs.twimg.com/media/DEYrIZwWsAA2Wo5.jpg,1.0,Pembroke,0.993225
884247878851493888,2017-07-10 03:08:17+00:00,13,10,None,,18224.0,67172.0,,,,
884162670584377345,2017-07-09 21:29:42+00:00,12,10,Yogi,doggo,2684.0,18927.0,https://pbs.twimg.com/media/DEUtQbzW0AUTv_o.jpg,1.0,German_shepherd,0.707046
883838122936631299,2017-07-09 00:00:04+00:00,12,10,Noah,,3080.0,20252.0,https://pbs.twimg.com/media/DEQGFgAXUAAEvfi.jpg,1.0,Doberman,0.610946
883482846933004288,2017-07-08 00:28:19+00:00,5,10,Bella,,8859.0,42458.0,https://pbs.twimg.com/media/DELC9dZXUAADqUk.jpg,1.0,golden_retriever,0.943082
883360690899218434,2017-07-07 16:22:55+00:00,13,10,Grizzwald,floofer,3320.0,21022.0,https://pbs.twimg.com/media/DEJT3FeXoAAtwUy.jpg,1.0,chow,0.987997
883117836046086144,2017-07-07 00:17:54+00:00,13,10,None,,5971.0,34398.0,https://pbs.twimg.com/media/DEF2-_hXoAAs62q.jpg,2.0,golden_retriever,0.949562
882992080364220416,2017-07-06 15:58:11+00:00,13,10,Rusty,,3487.0,22142.0,https://pbs.twimg.com/media/DEEEnIqXYAAiJh_.jpg,1.0,Eskimo_dog,0.466778
882762694511734784,2017-07-06 00:46:41+00:00,12,10,Gus,pupper,4385.0,26195.0,https://pbs.twimg.com/media/DEAz_HHXsAA-p_z.jpg,1.0,Labrador_retriever,0.85005
